id,name_th,name_en,province_id
49,บางซื่อ,บางซื่อ,10
50,จตุจักร,จตุจักร,10
51,พระประแดง,พระประแดง,11
52,เมืองสมุทรปราการ,เมืองสมุทรปราการ,11
53,พระสมุทรเจดีย์,พระสมุทรเจดีย์,11
54,บางพลี,บางพลี,11
55,บางบ่อ,บางบ่อ,11
56,บางเสาธง,บางเสาธง,11
57,เมืองนนทบุรี,เมืองนนทบุรี,12
58,บางบัวทอง,บางบัวทอง,12
59,ปากเกร็ด,ปากเกร็ด,12
60,บางกรวย,บางกรวย,12
61,บางใหญ่,บางใหญ่,12
62,ไทรน้อย,ไทรน้อย,12
63,เมืองปทุมธานี,เมืองปทุมธานี,13
64,ธัญบุรี,ธัญบุรี,13
65,คลองหลวง,คลองหลวง,13
66,ลำลูกกา,ลำลูกกา,13
67,ลาดหลุมแก้ว,ลาดหลุมแก้ว,13
68,สามโคก,สามโคก,13
69,หนองเสือ,หนองเสือ,13
70,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14
71,เสนา,เสนา,14
72,ผักไห่,ผักไห่,14
73,ท่าเรือ,ท่าเรือ,14
74,ภาชี,ภาชี,14
75,มหาราช,มหาราช,14
76,บางปะอิน,บางปะอิน,14
77,วังน้อย,วังน้อย,14
78,บางไทร,บางไทร,14
79,อุทัย,อุทัย,14
80,บางปะหัน,บางปะหัน,14
81,ลาดบัวหลวง,ลาดบัวหลวง,14
82,บ้านแพรก,บ้านแพรก,14
83,บางบาล,บางบาล,14
84,นครหลวง,นครหลวง,14
85,บางซ้าย,บางซ้าย,14
86,เมืองอ่างทอง,เมืองอ่างทอง,15
87,วิเศษชัยชาญ,วิเศษชัยชาญ,15
88,โพธิ์ทอง,โพธิ์ทอง,15
89,ป่าโมก,ป่าโมก,15
90,ไชโย,ไชโย,15
91,แสวงหา,แสวงหา,15
92,สามโก้,สามโก้,15
93,เมืองลพบุรี,เมืองลพบุรี,16
94,บ้านหมี่,บ้านหมี่,16
95,โคกสำโรง,โคกสำโรง,16
